lemma|MFS|LDA|Improvement_LDA|num_senses|num_tokens
coincidencia.n|50.00|41.67|-8.33|3|15
inspección.n|50.00|66.67|16.67|2|9
héroe.n|75.00|83.33|8.33|2|14
norte.n|87.50|100.00|12.5|2|24
posibilidad.n|51.85|88.27|36.42|2|164
caso.n|61.05|91.58|30.53|2|286
plano.n|50.00|33.33|-16.67|3|15
celebración.n|62.50|83.33|20.83|3|27
boca.n|71.43|80.95|9.52|3|23
material.n|70.00|86.67|16.67|2|32
fabricación.n|75.00|83.33|8.33|2|15
bandera.n|50.00|83.33|33.33|3|39
departamento.n|50.00|56.67|6.67|3|31
formato.n|50.00|83.33|33.33|2|6
policía.n|81.25|82.64|1.39|2|145
variación.n|50.00|83.33|33.33|2|7
veterano.n|66.67|83.33|16.66|2|20
indemnización.n|71.43|57.14|-14.29|2|25
balance.n|66.67|77.78|11.11|3|19
teléfono.n|87.50|95.83|8.33|2|25
tele.n|60.00|86.67|26.67|2|16
mesa.n|90.91|96.97|6.06|2|34
mal.n|85.71|76.19|-9.52|2|23
cuota.n|33.33|38.89|5.56|3|19
pasado.n|70.00|90.00|20.0|2|33
comunidad.n|86.96|95.65|8.69|2|69
amante.n|50.00|83.33|33.33|2|10
productor.n|66.67|80.56|13.89|3|37
provincia.n|50.00|60.42|10.42|2|50
turismo.n|77.78|96.30|18.52|2|29
sesión.n|68.75|85.42|16.67|2|51
pelea.n|90.00|86.67|-3.33|2|34
agenda.n|75.00|100.00|25.0|2|14
tráfico.n|86.67|86.67|0.0|2|46
fruto.n|75.00|100.00|25.0|2|15
norma.n|53.85|35.90|-17.95|4|42
foro.n|83.33|100.00|16.67|2|21
domicilio.n|60.00|93.33|33.33|2|31
incidente.n|53.85|48.72|-5.13|3|40
gusto.n|75.00|83.33|8.33|2|13
soberanía.n|88.89|88.89|0.0|2|28
mediación.n|50.00|100.00|50.0|2|9
deportista.n|62.50|62.50|0.0|2|24
Europa.n|85.71|100.00|14.29|2|21
revolución.n|60.00|73.33|13.33|2|16
mandatario.n|83.33|100.00|16.67|2|18
grandeza.n|66.67|88.89|22.22|2|10
texto.n|80.00|82.22|2.22|2|47
esperanza.n|60.00|55.56|-4.44|3|48
instalación.n|83.33|83.33|0.0|3|39
institución.n|90.91|98.48|7.57|3|66
habitación.n|75.00|58.33|-16.67|2|16
esfuerzo.n|88.00|97.33|9.33|2|77
boletín.n|50.00|83.33|33.33|2|7
interior.n|84.62|94.87|10.25|2|39
trazado.n|66.67|77.78|11.11|2|11
manipulación.n|66.67|100.00|33.33|2|9
recuerdo.n|60.00|63.33|3.33|3|32
estructura.n|50.00|56.67|6.67|3|34
color.n|92.86|100.00|7.14|2|44
banda.n|40.00|22.67|-17.33|5|82
interés.n|41.86|34.11|-7.75|3|130
aplauso.n|60.00|86.67|26.67|2|17
estación.n|60.00|73.33|13.33|3|46
rebeldía.n|50.00|100.00|50.0|2|9
crédito.n|86.67|68.89|-17.78|2|46
subsidio.n|57.14|71.43|14.29|2|22
experimento.n|71.43|61.90|-9.53|3|23
obligación.n|66.67|62.96|-3.71|3|30
reina.n|66.67|83.33|16.66|2|18
dificultad.n|50.00|25.93|-24.07|5|61
parque.n|71.43|52.38|-19.05|2|24
extremo.n|28.57|33.33|4.76|5|26
manera.n|69.23|82.05|12.82|2|78
solicitud.n|50.00|50.00|0.0|2|15
proceso.n|87.50|94.05|6.55|2|168
resultado.n|49.18|68.85|19.67|3|186
amigo.n|95.00|100.00|5.0|2|62
gasto.n|75.00|86.11|11.11|2|38
hallazgo.n|50.00|100.00|50.0|2|8
diálogo.n|95.24|92.06|-3.18|2|65
desplazamiento.n|66.67|100.00|33.33|2|11
despliegue.n|50.00|83.33|33.33|2|9
obra.n|31.58|20.18|-11.4|5|116
bien.n|54.55|39.39|-15.16|4|36
nivel.n|79.31|93.10|13.79|3|89
lengua.n|83.33|100.00|16.67|2|19
hermana.n|57.14|57.14|0.0|3|22
empleo.n|94.12|95.10|0.98|2|103
delegación.n|83.33|77.78|-5.55|3|38
defensor.n|75.00|91.67|16.67|2|13
aliado.n|50.00|66.67|16.67|2|16
talante.n|66.67|77.78|11.11|2|11
frecuencia.n|76.92|84.62|7.7|2|42
aniversario.n|75.00|100.00|25.0|2|13
lucha.n|54.55|48.48|-6.07|4|69
gravedad.n|75.00|91.67|16.67|2|14
cosecha.n|50.00|50.00|0.0|2|22
polvo.n|50.00|83.33|33.33|2|8
misterio.n|66.67|88.89|22.22|2|9
lista.n|91.67|97.22|5.55|2|74
estancia.n|50.00|83.33|33.33|2|14
requisito.n|80.00|100.00|20.0|2|17
personal.n|80.00|100.00|20.0|2|18
firma.n|56.67|57.78|1.11|2|93
traspaso.n|75.00|75.00|0.0|2|15
recomendación.n|60.00|53.33|-6.67|3|19
autor.n|50.00|51.85|1.85|3|56
colisión.n|66.67|33.33|-33.34|2|12
escala.n|75.00|66.67|-8.33|2|16
jugada.n|75.00|91.67|16.67|2|25
encuentro.n|53.85|57.26|3.41|4|121
batalla.n|66.67|55.56|-11.11|3|30
desfile.n|66.67|55.56|-11.11|2|11
escritor.n|62.50|91.67|29.17|2|25
noche.n|39.02|29.27|-9.75|4|126
potencia.n|60.00|93.33|33.33|2|18
tarea.n|53.85|66.67|12.82|3|41
fabricante.n|85.71|100.00|14.29|2|21
azar.n|50.00|50.00|0.0|2|13
exterior.n|75.00|100.00|25.0|2|14
moda.n|50.00|66.67|16.67|2|22
ventana.n|83.33|100.00|16.67|2|20
total.n|60.00|80.00|20.0|2|34
cuarto.n|50.00|50.00|0.0|3|30
hockey.n|50.00|83.33|33.33|2|8
tributo.n|50.00|100.00|50.0|2|7
comercio.n|58.33|55.56|-2.77|3|38
temor.n|87.50|95.83|8.33|2|25
papel.n|66.67|78.89|12.22|4|92
lesión.n|83.33|88.89|5.56|2|54
competición.n|83.33|83.33|0.0|2|57
ola.n|40.00|40.00|0.0|2|17
factor.n|55.56|88.89|33.33|2|28
asistente.n|66.67|100.00|33.33|2|10
dotación.n|66.67|66.67|0.0|2|10
reforma.n|82.86|94.29|11.43|2|109
interferencia.n|50.00|83.33|33.33|2|6
dimensión.n|37.50|37.50|0.0|3|26
ciencia.n|87.50|91.67|4.17|2|26
región.n|33.33|33.33|0.0|5|68
demócrata.n|66.67|40.74|-25.93|2|29
universidad.n|66.67|88.89|22.22|2|10
regulación.n|66.67|83.33|16.66|2|18
descanso.n|60.00|100.00|40.0|2|31
recuento.n|83.33|88.89|5.56|2|21
prestación.n|60.00|73.33|13.33|2|19
pasión.n|66.67|77.78|11.11|2|9
favor.n|83.33|88.89|5.56|2|20
paquete.n|80.00|80.00|0.0|2|15
descuido.n|50.00|50.00|0.0|2|6
impacto.n|57.14|71.43|14.29|2|22
réplica.n|50.00|66.67|16.67|2|8
razón.n|38.24|25.49|-12.75|6|104
media.n|50.00|83.33|33.33|2|14
categoría.n|80.00|57.78|-22.22|3|48
libertad.n|75.00|83.33|8.33|4|84
candidato.n|89.39|94.95|5.56|2|200
universo.n|50.00|66.67|16.67|2|7
entorno.n|42.86|71.43|28.57|3|24
club.n|92.86|97.62|4.76|2|127
núcleo.n|50.00|66.67|16.67|2|14
drama.n|66.67|77.78|11.11|2|10
equipo.n|98.32|98.88|0.56|2|539
herido.n|88.89|74.07|-14.82|2|28
concurso.n|75.00|91.67|16.67|2|14
organismo.n|80.95|85.71|4.76|2|67
gobernador.n|66.67|77.78|11.11|2|38
industria.n|53.33|91.11|37.78|2|46
preparación.n|57.14|38.10|-19.04|3|21
triunfo.n|84.38|92.71|8.33|2|98
posesión.n|80.00|93.33|13.33|2|16
playa.n|87.50|75.00|-12.5|2|25
prestigio.n|50.00|16.67|-33.33|3|15
gestión.n|94.12|90.20|-3.92|2|53
necesidad.n|63.16|88.60|25.44|2|118
transformación.n|66.67|77.78|11.11|2|10
gerente.n|80.00|93.33|13.33|2|16
sabor.n|50.00|83.33|33.33|2|8
número.n|51.67|86.11|34.44|3|182
francés.n|87.50|100.00|12.5|2|25
movilidad.n|66.67|77.78|11.11|2|10
toma.n|75.00|66.67|-8.33|2|13
directiva.n|66.67|88.89|22.22|2|39
enfermedad.n|93.75|93.75|0.0|2|51
área.n|35.00|33.33|-1.67|5|65
método.n|62.50|83.33|20.83|2|25
sorpresa.n|44.44|40.74|-3.7|4|30
italiano.n|85.71|76.19|-9.52|2|24
venta.n|71.79|64.10|-7.69|3|121
autonomía.n|83.33|83.33|0.0|2|21
lluvia.n|84.62|84.62|0.0|2|41
lanzador.n|50.00|83.33|33.33|2|8
importación.n|66.67|100.00|33.33|2|12
representante.n|62.50|95.83|33.33|2|100
oportunidad.n|41.67|37.50|-4.17|4|74
negocio.n|58.82|78.43|19.61|3|54
realidad.n|36.36|42.42|6.06|5|71
comentario.n|55.56|33.33|-22.23|3|31
iniciativa.n|72.22|85.19|12.97|2|55
circunstancia.n|78.57|83.33|4.76|3|46
partido.n|55.87|64.48|8.61|2|641
voluntad.n|58.82|88.24|29.42|3|54
rayo.n|75.00|66.67|-8.33|2|14
competencia.n|53.85|56.41|2.56|3|80
opción.n|62.50|79.17|16.67|2|52
frontera.n|46.67|35.56|-11.11|3|49
depósito.n|60.00|60.00|0.0|3|17
vuelo.n|69.23|79.49|10.26|2|41
exportación.n|78.57|64.29|-14.28|2|45
diferencia.n|40.74|44.44|3.7|4|84
presidencia.n|83.33|88.89|5.56|2|56
herida.n|87.50|100.00|12.5|2|25
individuo.n|80.00|73.33|-6.67|2|16
frío.n|40.00|40.00|0.0|2|17
vecino.n|71.43|84.13|12.7|2|64
escaparate.n|50.00|100.00|50.0|2|8
tesis.n|80.00|93.33|13.33|2|16
inglés.n|75.00|83.33|8.33|2|26
panorama.n|66.67|100.00|33.33|2|11
congreso.n|56.25|27.08|-29.17|5|53
propietario.n|71.43|85.71|14.28|2|22
garantía.n|60.00|26.67|-33.33|3|19
miedo.n|53.85|74.36|20.51|2|40
concierto.n|91.67|91.67|0.0|2|38
desobediencia.n|66.67|100.00|33.33|2|9
meta.n|42.86|38.10|-4.76|4|23
canal.n|71.43|66.67|-4.76|3|25
consecuencia.n|80.95|88.89|7.94|3|67
demostración.n|33.33|66.67|33.34|3|10
reportaje.n|50.00|83.33|33.33|2|8
calle.n|93.33|90.37|-2.96|2|136
enemigo.n|71.43|47.62|-23.81|3|22
socio.n|89.47|94.74|5.27|2|59
dispositivo.n|50.00|83.33|33.33|2|10
mérito.n|50.00|33.33|-16.67|3|13
situación.n|98.82|99.61|0.79|2|255
consorcio.n|80.00|100.00|20.0|2|19
origen.n|55.00|58.33|3.33|4|63
funcionamiento.n|50.00|83.33|33.33|2|14
procedimiento.n|40.00|66.67|26.67|3|19
espectáculo.n|87.50|85.42|-2.08|2|50
culpa.n|50.00|91.67|41.67|2|13
imprudencia.n|66.67|66.67|0.0|2|11
supuesto.n|50.00|50.00|0.0|2|6
norteamericano.n|50.00|83.33|33.33|2|7
rotura.n|50.00|83.33|33.33|2|7
obrero.n|75.00|83.33|8.33|2|16
solución.n|76.00|88.00|12.0|3|81
consenso.n|83.33|100.00|16.67|2|19
mina.n|75.00|73.33|-1.67|2|60
proveedor.n|50.00|100.00|50.0|2|6
conversación.n|86.67|88.89|2.22|3|46
metro.n|83.33|94.44|11.11|2|112
grito.n|71.43|80.95|9.52|2|22
legislación.n|85.71|100.00|14.29|2|22
estado.n|42.86|40.14|-2.72|4|149
gobierno.n|80.49|90.24|9.75|3|126
hora.n|61.39|56.11|-5.28|4|305
era.n|66.67|88.89|22.22|2|13
función.n|58.33|72.22|13.89|4|39
rincón.n|50.00|83.33|33.33|2|8
intriga.n|50.00|83.33|33.33|2|8
cliente.n|94.12|98.04|3.92|2|54
fila.n|42.86|61.90|19.04|3|24
rostro.n|66.67|66.67|0.0|2|12
tanque.n|50.00|66.67|16.67|2|7
gloria.n|66.67|66.67|0.0|2|11
fiesta.n|50.00|66.67|16.67|2|37
asfalto.n|50.00|50.00|0.0|2|8
agricultor.n|75.00|91.67|16.67|2|12
dependencia.n|66.67|77.78|11.11|2|10
cooperación.n|92.31|94.87|2.56|2|41
sanción.n|65.00|56.67|-8.33|3|62
pago.n|91.67|100.00|8.33|2|38
componente.n|60.00|53.33|-6.67|3|19
impresión.n|50.00|58.33|8.33|2|12
viaje.n|60.87|53.62|-7.25|3|71
estudio.n|43.48|37.68|-5.8|5|74
convenio.n|55.56|59.26|3.7|2|28
inteligencia.n|40.00|60.00|20.0|3|16
promesa.n|83.33|100.00|16.67|2|19
pierna.n|87.50|87.50|0.0|2|25
calor.n|60.00|46.67|-13.33|2|16
derecha.n|69.23|89.74|20.51|3|41
chino.n|66.67|44.44|-22.23|2|10
responsable.n|89.66|97.70|8.04|2|89
actualidad.n|85.71|90.48|4.77|2|23
derecho.n|90.70|95.35|4.65|2|130
creación.n|82.35|90.20|7.85|2|53
adulto.n|66.67|100.00|33.33|2|10
territorio.n|80.95|98.41|17.46|2|63
devaluación.n|50.00|100.00|50.0|2|6
agente.n|64.00|57.33|-6.67|4|77
llegada.n|81.82|90.91|9.09|3|36
integración.n|60.00|86.67|26.67|2|32
déficit.n|75.00|77.78|2.78|2|38
intervención.n|71.43|83.33|11.9|3|48
muñeca.n|50.00|100.00|50.0|2|8
señora.n|71.43|85.71|14.28|3|23
audiencia.n|33.33|55.56|22.23|4|22
escuela.n|83.33|77.78|-5.55|3|38
pintura.n|66.67|77.78|11.11|2|10
acuerdo.n|80.52|87.88|7.36|2|231
declaración.n|45.45|26.26|-19.19|4|103
vaca.n|50.00|50.00|0.0|2|7
preso.n|87.50|95.83|8.33|2|25
cargo.n|92.31|94.87|2.56|3|81
tipo.n|57.69|74.36|16.67|3|157
precaución.n|66.67|100.00|33.33|2|9
izquierda.n|76.92|79.49|2.57|3|43
población.n|75.00|97.62|22.62|2|86
capítulo.n|50.00|66.67|16.67|2|22
transición.n|66.67|66.67|0.0|2|22
momento.n|73.75|94.58|20.83|2|240
patente.n|50.00|100.00|50.0|2|7
suelo.n|61.54|79.49|17.95|3|40
confrontación.n|50.00|66.67|16.67|2|10
entrevista.n|52.94|66.67|13.73|2|53
pancarta.n|50.00|66.67|16.67|2|15
templo.n|50.00|83.33|33.33|2|6
distancia.n|63.64|69.70|6.06|3|37
tiro.n|57.14|85.71|28.57|2|22
colectivo.n|77.78|77.78|0.0|2|29
símbolo.n|87.50|87.50|0.0|2|25
ejemplo.n|25.00|18.75|-6.25|6|54
autorización.n|50.00|41.67|-8.33|3|16
contenido.n|85.71|100.00|14.29|2|23
vencedor.n|80.00|100.00|20.0|2|16
justicia.n|53.85|53.85|0.0|2|42
tío.n|50.00|83.33|33.33|2|9
barril.n|80.00|80.00|0.0|2|16
arroz.n|50.00|83.33|33.33|2|6
éxito.n|53.57|42.86|-10.71|3|86
muerto.n|57.14|71.43|14.29|3|24
ánimo.n|50.00|77.78|27.78|3|20
tregua.n|83.33|83.33|0.0|2|18
palabra.n|58.06|58.06|0.0|3|97
semana.n|85.06|92.34|7.28|2|263
objeto.n|57.14|78.57|21.43|3|43
asistencia.n|44.44|29.63|-14.81|4|32
diplomacia.n|66.67|77.78|11.11|2|10
multa.n|83.33|100.00|16.67|2|20
editor.n|66.67|55.56|-11.11|2|10
consumo.n|46.67|53.33|6.66|3|49
autoridad.n|82.61|86.23|3.62|3|139
carrera.n|57.89|55.26|-2.63|4|119
presidente.n|70.31|73.94|3.63|4|690
comandante.n|33.33|55.56|22.23|3|12
jefe.n|54.76|65.08|10.32|5|131
jubilación.n|50.00|50.00|0.0|2|9
alarde.n|50.00|50.00|0.0|2|8
televisión.n|56.00|72.00|16.0|3|79
jornada.n|54.84|74.19|19.35|2|96
selección.n|88.46|93.59|5.13|2|78
terminal.n|66.67|66.67|0.0|2|13
libro.n|73.08|85.90|12.82|3|79
candidatura.n|65.38|82.05|16.67|2|79
español.n|80.95|95.24|14.29|2|65
lujo.n|75.00|91.67|16.67|2|14
comerciante.n|66.67|77.78|11.11|2|12
caballero.n|66.67|100.00|33.33|2|9
convicción.n|75.00|100.00|25.0|2|14
junta.n|50.00|66.67|16.67|2|18
fábrica.n|62.50|75.00|12.5|2|28
consejero.n|81.82|69.70|-12.12|2|34
vivienda.n|91.67|94.44|2.77|2|38
emergencia.n|75.00|62.50|-12.5|2|26
verdad.n|38.46|30.77|-7.69|4|41
ampliación.n|93.33|93.33|0.0|2|45
adversario.n|60.00|93.33|33.33|2|17
concejal.n|85.71|80.95|-4.76|2|23
negociación.n|79.31|89.66|10.35|2|89
enfrentamiento.n|69.23|87.18|17.95|2|41
penumbra.n|50.00|83.33|33.33|2|6
sequía.n|75.00|91.67|16.67|2|12
complejidad.n|50.00|66.67|16.67|2|6
adopción.n|66.67|77.78|11.11|2|11
pared.n|85.71|100.00|14.29|2|22
sur.n|93.33|100.00|6.67|2|45
embarcación.n|50.00|50.00|0.0|2|6
tormenta.n|50.00|75.00|25.0|2|13
músico.n|57.14|80.95|23.81|2|22
actuación.n|81.82|93.94|12.12|3|68
duración.n|50.00|41.67|-8.33|3|17
reto.n|80.00|80.00|0.0|2|18
velocidad.n|46.15|38.46|-7.69|3|41
disturbio.n|50.00|100.00|50.0|2|8
familia.n|45.71|45.71|0.0|5|111
regreso.n|88.89|92.59|3.7|2|31
música.n|92.31|100.00|7.69|2|41
altura.n|57.14|47.62|-9.52|3|24
agresión.n|77.78|77.78|0.0|3|29
camión.n|83.33|91.67|8.34|2|38
adaptación.n|75.00|83.33|8.33|2|12
aspecto.n|33.33|42.59|9.26|4|59
naturaleza.n|58.33|41.67|-16.66|5|41
doctor.n|57.14|71.43|14.29|2|22
risa.n|50.00|66.67|16.67|2|9
castigo.n|50.00|100.00|50.0|2|12
desesperación.n|50.00|66.67|16.67|2|6
anillo.n|75.00|83.33|8.33|2|16
planificación.n|50.00|66.67|16.67|2|8
escenario.n|93.33|95.56|2.23|2|48
satélite.n|66.67|88.89|22.22|2|10
respeto.n|66.67|75.56|8.89|3|47
plenitud.n|50.00|83.33|33.33|2|7
filosofía.n|66.67|33.33|-33.34|2|12
tragedia.n|20.00|20.00|0.0|4|20
coalición.n|94.74|98.25|3.51|2|59
crimen.n|85.71|100.00|14.29|2|22
fracaso.n|57.14|38.10|-19.04|3|24
comité.n|45.45|24.24|-21.21|3|35
plaza.n|60.00|68.33|8.33|2|64
baja.n|72.73|87.88|15.15|2|35
transporte.n|54.55|30.30|-24.25|4|36
secretario.n|89.47|93.86|4.39|2|115
lugar.n|36.84|42.11|5.27|3|117
teatro.n|40.00|43.33|3.33|3|31
camiseta.n|50.00|66.67|16.67|2|13
regalo.n|42.86|42.86|0.0|2|23
información.n|54.76|85.71|30.95|2|128
violencia.n|72.41|90.80|18.39|3|88
insulto.n|75.00|83.33|8.33|2|16
monopolio.n|50.00|66.67|16.67|2|6
profesión.n|60.00|80.00|20.0|3|18
investigación.n|47.37|28.07|-19.3|5|121
exposición.n|71.43|66.67|-4.76|2|25
transparencia.n|50.00|83.33|33.33|2|16
publicación.n|66.67|88.89|22.22|2|12
dosis.n|66.67|44.44|-22.23|2|11
plantilla.n|83.33|100.00|16.67|2|56
plan.n|43.48|55.80|12.32|3|138
petróleo.n|57.14|47.62|-9.52|2|22
rey.n|91.67|91.67|0.0|2|38
fama.n|80.00|100.00|20.0|2|16
nervio.n|50.00|83.33|33.33|2|7
oficina.n|85.71|97.62|11.91|2|44
pregunta.n|80.00|91.11|11.11|2|47
estrella.n|66.67|61.11|-5.56|4|40
esquina.n|50.00|25.00|-25.0|3|15
escrito.n|80.00|80.00|0.0|2|17
artista.n|76.92|71.79|-5.13|3|41
deuda.n|46.15|46.15|0.0|2|41
establecimiento.n|50.00|45.83|-4.17|3|24
homenaje.n|75.00|83.33|8.33|2|25
dinero.n|58.06|59.14|1.08|4|97
especie.n|64.71|90.20|25.49|2|53
innovación.n|75.00|75.00|0.0|2|12
arma.n|62.50|61.11|-1.39|3|74
don.n|75.00|100.00|25.0|2|16
tradición.n|75.00|83.33|8.33|2|13
año.n|89.15|91.19|2.04|3|1275
receta.n|50.00|50.00|0.0|2|6
problema.n|56.10|60.16|4.06|4|250
catalán.n|76.92|53.85|-23.07|2|41
construcción.n|81.25|87.50|6.25|3|52
afirmación.n|50.00|33.33|-16.67|3|13
país.n|72.29|83.55|11.26|2|695
nacionalismo.n|50.00|66.67|16.67|2|15
precisión.n|66.67|66.67|0.0|2|12
especulación.n|66.67|88.89|22.22|2|11
mercado.n|86.90|90.08|3.18|3|254
cine.n|81.25|89.58|8.33|2|50
ciudadano.n|50.00|53.12|3.12|3|98
vida.n|66.27|59.04|-7.23|6|256
motor.n|84.62|89.74|5.12|2|42
ley.n|96.08|98.69|2.61|2|156
democracia.n|78.95|87.72|8.77|2|59
deporte.n|66.67|62.96|-3.71|2|56
calidad.n|72.73|87.88|15.15|2|36
pesadilla.n|50.00|100.00|50.0|2|7
explosivo.n|50.00|58.33|8.33|2|12
convocatoria.n|66.67|100.00|33.33|2|21
promotor.n|66.67|55.56|-11.11|2|9
guión.n|50.00|83.33|33.33|2|16
esquema.n|75.00|75.00|0.0|2|13
marcador.n|57.14|76.19|19.05|2|24
conductor.n|90.48|93.65|3.17|2|64
efecto.n|96.00|98.67|2.67|2|77
acontecimiento.n|75.00|87.50|12.5|2|26
pueblo.n|42.42|36.36|-6.06|6|105
revisión.n|50.00|76.67|26.67|2|32
catástrofe.n|75.00|58.33|-16.67|2|13
duelo.n|72.73|72.73|0.0|2|36
monarca.n|75.00|58.33|-16.67|2|14
ingreso.n|68.75|66.67|-2.08|3|53
café.n|80.00|86.67|6.67|3|60
precio.n|97.22|96.76|-0.46|2|219
independencia.n|88.89|100.00|11.11|2|30
billete.n|60.00|73.33|13.33|2|18
participante.n|50.00|83.33|33.33|2|8
tratamiento.n|62.50|50.00|-12.5|3|26
nieve.n|57.14|57.14|0.0|2|22
fiebre.n|50.00|75.00|25.0|2|12
posición.n|25.93|20.99|-4.94|9|90
mitad.n|88.24|98.04|9.8|2|51
horizonte.n|50.00|83.33|33.33|2|9
gente.n|56.41|64.96|8.55|2|119
sitio.n|50.00|75.00|25.0|3|27
barrera.n|66.67|100.00|33.33|2|10
trabajador.n|90.00|93.33|3.33|2|91
receptor.n|50.00|100.00|50.0|2|8
experiencia.n|65.00|73.33|8.33|3|63
cifra.n|52.17|81.16|28.99|2|73
mes.n|54.29|80.00|25.71|2|315
plazo.n|95.83|95.83|0.0|2|72
árbitro.n|55.56|77.78|22.22|2|30
gesto.n|50.00|77.78|27.78|2|19
equilibrio.n|42.86|57.14|14.28|3|25
vídeo.n|57.14|52.38|-4.76|3|24
técnico.n|74.42|78.29|3.87|2|131
colección.n|33.33|44.44|11.11|3|12
falta.n|63.64|66.67|3.03|3|34
combate.n|55.56|62.96|7.4|4|34
semestre.n|75.00|66.67|-8.33|2|15
luna.n|66.67|88.89|22.22|2|9
informe.n|83.33|87.50|4.17|3|75
moneda.n|93.33|93.33|0.0|2|47
muro.n|66.67|88.89|22.22|2|9
dueño.n|77.78|100.00|22.22|2|29
ayuda.n|32.26|22.58|-9.68|7|98
literatura.n|50.00|83.33|33.33|2|7
honor.n|53.85|84.62|30.77|3|45
intento.n|93.33|100.00|6.67|2|47
mundo.n|47.31|40.14|-7.17|4|279
boda.n|80.00|86.67|6.67|2|17
oferta.n|52.38|79.37|26.99|2|63
presupuesto.n|77.78|92.59|14.81|2|27
dimisión.n|84.62|87.18|2.56|2|41
señor.n|50.00|53.70|3.7|4|56
alimento.n|62.50|79.17|16.67|2|26
canasta.n|50.00|50.00|0.0|2|10
ciudad.n|97.14|96.19|-0.95|2|210
flor.n|50.00|83.33|33.33|2|8
especialista.n|44.44|55.56|11.12|3|32
técnica.n|60.00|66.67|6.67|2|15
explotación.n|25.00|25.00|0.0|3|16
pacto.n|40.00|33.33|-6.67|4|65
política.n|75.36|87.44|12.08|2|208
discusión.n|37.50|37.50|0.0|4|28
ambición.n|50.00|75.00|25.0|2|14
trampa.n|50.00|66.67|16.67|2|7
identidad.n|60.00|66.67|6.67|2|15
mensaje.n|52.38|85.71|33.33|2|64
sistema.n|31.48|23.46|-8.02|7|167
